Player,Team,Team within selected timeframe,Position,Age,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Height,Weight,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",country_league
G. Evans,Reading,Reading,LCB,25,19,1855,0,1.87,0,0,13.73,60.78,Wales,Wales,0,0,11.98,6.02,71.77,3.49,59.72,0.78,0.97,0.78,6.89,8.62,0.19,0,0,0,0,0.53,0,0,0,0.09,0,0,7,0.34,42.86,0,0,0,0,0.68,57.14,1.7,40,0.44,0.15,0,0.44,36.44,76.3,18.73,60.1,3.06,98.41,12.03,95.16,8.3,40.94,23.83,41.36,0,0,0,0,0.1,0,0,5.19,38.32,0.82,5.88,0.73,6.67,0.15,0,7.96,57.32,England 202122
M. Earps,Manchester United,Manchester United,GK,29,19,1855,0,0,0,0,0.78,87.5,England,England,0,0,1.26,0,0,0.58,91.67,0,0,0,1.26,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0,0.34,22.27,89.76,7.81,75.16,0.05,100,13.54,97.85,5.48,62.83,26.2,41.48,0,0,0,0,0,0,0,0.44,33.33,0,0,0.05,0,0,0,3.69,60.53,England 202122
M. Le Tissier,Brighton & Hove Albion,Brighton & Hove Albion,"RB, RCB",19,19,1846,1,0.57,0,1.13,15.16,58.2,England,England,0,0,11.6,5.31,66.06,3.56,60.27,0.44,0.55,0.54,7.65,9.59,0.49,2,0.1,0,0,2,0.05,1,0.05,0.03,0,0,7,0.34,28.57,14.286,0,2.34,41.67,1.46,60,3.41,50,0.73,1.27,0.59,0.88,41.39,72.2,20.14,63.92,4.88,94,13.11,78.81,7.61,40.38,22.51,39.38,0.05,0.44,0.05,0,0.24,20,0.24,6.92,55.63,3.17,47.69,1.12,43.48,0.68,1.12,11.12,62.28,England 202122
K. Zelem,Manchester United,Manchester United,"LDMF, RDMF",26,19,1844,5,2.61,4,3.59,17.33,52.68,England,England,163,0,9.91,7.17,63.27,4.2,54.65,0.15,0.23,0.44,5.22,8.19,1.22,1,0.05,0,0,1.12,0.24,3,0.15,0.13,0,0,24,1.17,25,20.833,0.2,1.17,37.5,0.49,30,2.54,28.85,0.49,0.2,0,0.49,44.9,77.39,16.11,62.12,8.2,90.48,14.59,85.62,6,43.9,19.1,36.57,0.18,1.76,0.1,0.05,0.54,45.45,0.39,8.25,61.54,2.49,41.18,0.88,22.22,0.59,0.49,7.91,70.99,England 202122
M. Pacheco,Aston Villa,Aston Villa,LB,23,19,1842,0,0.29,0,1.65,20.18,52.06,England,England,0,0,11.68,8.6,64.77,1.71,54.29,0.34,0.43,0.1,5.77,7.31,0.49,3,0.15,0,0,2.25,0,0,0,0.01,0,0,8,0.39,25,0,0,1.61,30.3,3.37,49.28,6.5,38.35,0.54,1.66,0.83,0.83,35.08,70.06,16.76,62.97,3.52,81.94,9.19,76.6,3.86,36.71,19.11,34.49,0.08,0.88,0,0.05,0.1,0,0.15,5.57,55.26,1.66,32.35,0.29,16.67,0.24,0.44,7.92,62.35,England 202122
E. Koivisto,Brighton & Hove Albion,Brighton & Hove Albion,"RB, RW, LB",27,19,1840,3,2.41,0,0.5,25.53,47.89,Finland,Finland,169,0,13.21,9.78,65.5,4.26,44.83,0.24,0.31,0.2,6.55,8.2,0.93,1,0.05,0,0,1.37,0.15,3,0.15,0.12,2,0.1,15,0.73,26.67,20,0,1.17,20.83,2.59,35.85,7.68,30.57,1.42,0.73,0.15,1.22,27.64,73.81,10.37,59.43,5.53,91.15,6.95,79.58,1.22,44,16.51,15.87,0.02,0.29,0.05,0,0.05,0,0.05,2.25,41.3,1.32,37.04,0.15,0,0.39,0.24,4.65,52.63,England 202122
S. Tierney,Leicester City WFC,Leicester City WFC,"RCMF, RCB",23,19,1836,2,1.19,0,1.16,19.07,58.61,England,England,0,0,11.03,9.22,71.28,2.7,45.45,0.59,0.68,0.39,3.87,4.45,1.13,5,0.25,0,0,0.69,0.1,2,0.1,0.06,2,0.1,7,0.34,42.86,28.571,0,0.34,57.14,0.49,60,3.53,47.22,1.03,0.29,0.1,1.13,23.92,70.9,11.32,59.31,2.6,88.68,6.96,83.8,4.12,36.9,19.27,35.91,0.06,0.74,0,0,0.05,100,0.2,4.36,49.44,1.23,40,0.2,25,0.54,0.15,4.9,60,England 202122
H. Hampton,Aston Villa,Aston Villa,GK,21,19,1812,0,0,0,0,1.14,86.96,England,England,0,0,2.43,0.1,50,0.79,93.75,0,0,0,2.38,3.03,0.05,1,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0.15,100,0,0,0,0.05,27.57,65.77,16.54,48.35,0.05,0,10.38,92.82,14.85,42.81,39.14,50.27,0,0,0,0,0,0,0,5.46,26.36,0.7,7.14,0.3,0,0.05,0,8.74,52.27,England 202122
D. Turner,Everton,Everton,"LB, RB",31,19,1794,1,1.4,0,0.3,20.17,54.23,England,England,0,0,13.55,9.53,61.05,3.71,58.11,0.5,0.65,0.35,7.22,9.41,0.85,2,0.1,0,0,1.76,0.05,1,0.05,0.07,0,0,11,0.55,54.55,9.091,0,1.3,19.23,1.25,76,3.71,40.54,0.45,1.2,0.75,0.5,40.69,73.24,17.51,59.31,6.32,88.1,11.19,83.41,4.77,31.58,18.61,37.29,0.02,0.3,0,0,0.4,62.5,0.15,5.82,45.69,1.71,29.41,0.7,14.29,0.25,0.3,8.48,55.62,England 202122
E. Toone,Manchester United,Manchester United,"AMF, CF, RAMF",22,19,1774,7,7.31,8,3.02,18.62,47.14,England,England,0,0,7.31,6.09,66.67,0.66,53.85,0.51,0.8,0.1,2.74,4.3,0.86,3,0.15,0,0,5.07,0.36,6,0.3,0.37,0,0,60,3.04,30,10,0.41,2.03,40,4.26,57.14,8.73,40.7,3.09,1.62,1.12,0.36,39.57,76.03,13.44,66.42,7.41,91.78,9.54,74.47,1.37,37.04,14.63,24.72,0.15,1.32,0.1,0.05,2.33,39.13,0.76,5.38,65.09,4.21,49.4,2.03,30,1.78,0.91,6.95,79.56,England 202122
Lou. Quinn,Birmingham City,Birmingham City,"CB, RCB",31,18,1762,3,2.95,0,0,13.94,60.07,Republic of Ireland,Republic of Ireland,0,0,9.91,5.11,73,5.62,57.27,0.41,0.47,0.61,5.77,6.63,0.26,0,0,0,0,0.31,0.15,3,0.15,0.15,1,0.05,10,0.51,30,30,0,0,0,0.26,60,0.72,42.86,0.66,0,0,0.46,20.43,70.25,12.16,55.04,1.79,100,4.24,93.98,5.57,44.95,22.22,38.83,0,0,0,0,0,0,0,3.68,48.61,0.41,12.5,0.2,25,0.1,0,5.47,54.21,England 202122
G. George,Everton,Everton,LCB,25,18,1761,0,0.25,0,0.79,14.41,60.28,England,England,172,0,9.35,5.67,67.57,3.58,62.86,0.36,0.47,0.56,5.16,6.73,0.77,5,0.26,0,0,0.61,0,0,0,0.01,0,0,4,0.2,0,0,0,0.15,0,0.77,66.67,2.35,43.48,0.51,1.28,0.46,0.2,52.59,85.81,18.5,71.27,3.22,98.41,26.73,95.22,5.78,45.13,20.04,35.24,0.04,0.15,0,0,0.1,100,0.05,3.88,59.21,0.46,22.22,0.31,50,0.2,0,7.82,52.29,England 202122
G. Flaherty,West Ham United,West Ham United,"CB, LCB, RCB",30,18,1750,0,0.48,2,0.71,10.34,59.2,England,England,169,0,9.46,4.78,62.37,2.78,62.96,0.51,0.65,0.46,5.97,7.48,0.31,1,0.05,0,0,0.36,0,0,0,0.02,0,0,5,0.26,0,0,0.1,0.36,42.86,0.26,80,0.93,50,0.36,0.62,0.05,0.21,29.98,77.02,14.91,65.17,2.83,92.73,10.18,88.89,5.45,40.57,21.5,31.29,0.04,0.15,0,0,0.05,0,0.15,4.22,59.76,0.72,28.57,0.31,0,0.1,0.15,6.94,58.52,England 202122
N. Harding,Reading,Reading,"LB, RCB, RW",33,19,1748,0,1.08,0,0.16,11.64,50,Wales,Wales,0,0,9.37,5.05,66.33,2.16,40.48,0.15,0.2,0.36,5.87,7.48,0.1,2,0.1,0,0,0.93,0,0,0,0.06,0,0,7,0.36,14.29,0,0,0.82,25,0.88,64.71,2.27,36.36,0.67,0.36,0.15,0.62,27.08,67.11,13.03,56.52,3.6,82.86,7,80.88,5.66,40,19.89,34.08,0.01,0.15,0,0,0.15,66.67,0.1,4.63,38.89,1.13,31.82,0.57,36.36,0.31,0.15,6.74,58.02,England 202122
